dow_jones,all_ordinaries
3651.0,1962.2
3645.0,1977.1
3626.0,1968.4
3634.0,1952.0
3620.5,1962.5
3607.0,1967.8
3589.0,1939.5
3590.0,1931.4
3622.0,1941.5
3634.0,1938.3
3616.0,1912.9
3634.0,1903.6
3631.0,1902.6
3613.0,1925.5
3576.0,1924.1
3537.0,1925.2
3547.0,1919.3
3540.0,1928.6
3543.0,1946.5
3568.0,1943.0
3566.0,1942.3
3566.0,1951.4
3555.0,1964.4
3581.0,1972.7
3578.0,1977.0
3587.0,1998.5
3599.0,2018.8
3584.0,2022.5
3585.0,2026.2
3593.0,2039.8
3593.0,2028.0
3603.0,2038.6
3622.0,2062.0
3630.0,2074.1
3642.0,2085.5
3635.0,2075.5
3645.0,2051.7
3636.0,2060.4
3649.0,2061.4
3674.0,2046.9
3672.0,2055.7
3665.0,2068.3
3688.0,2076.3
3681.0,2112.2
3693.0,2132.4
3698.0,2125.3
3662.0,2108.4
3625.0,2101.6
3643.0,2079.9
3648.0,2054.2
3640.0,2050.8
3664.0,2042.9
3662.0,2052.4
3684.0,2074.0
3678.0,2082.9
3711.0,2083.8
3704.0,2104.3
3685.0,2108.0
3694.0,2083.2
3670.0,2049.3
3674.0,2009.6
3688.0,2032.4
3686.0,2042.0
3684.0,2043.1
3678.0,2010.3
3684.0,2009.4
3697.0,2005.4
3702.0,2047.3
3704.0,2047.4
3710.0,2053.7
3719.0,2073.9
3734.0,2096.0
3730.0,2095.7
3741.0,2084.9
3764.0,2094.5
3743.0,2086.6
3717.0,2069.9
3726.0,2074.8
3752.0,2080.2
3755.0,2076.0
3745.0,2067.0
3762.0,2053.2
3758.0,2068.8
3776.0,2089.2
3794.0,2126.9
3776.0,2154.5
3757.0,2173.6
3784.0,2174.3
3799.0,2193.4
3804.0,2200.3
3821.0,2186.0
3866.0,2198.6
3850.0,2206.7
3849.0,2195.6
3842.0,2177.5
3867.0,2206.4
3870.0,2238.2
3870.0,2232.1
3884.0,2248.2
3892.0,2266.2
3914.0,2250.3
3913.0,2224.5
3895.0,2221.9
3926.0,2250.7
3945.0,2259.9
3978.0,2310.8
3964.0,2310.1
3976.0,2312.1
3968.0,2340.6
3871.0,2332.8
3906.0,2281.1
3906.0,2305.4
3932.0,2270.9
3895.0,2234.3
3895.0,2241.4
3904.0,2238.6
3928.0,2234.0
3937.0,2249.0
3923.0,2240.9
3888.0,2223.2
3900.0,2178.5
3912.0,2202.5
3892.0,2218.9
3840.0,2197.0
3839.0,2148.8
3832.0,2180.1
3809.0,2181.7
3832.0,2154.0
3824.0,2151.4
3832.0,2116.8
3856.0,2144.7
3852.0,2171.7
3853.0,2146.8
3831.0,2155.1
3863.0,2153.1
3863.0,2179.3
3850.0,2172.5
3848.0,2173.5
3865.0,2164.4
3896.0,2163.5
3865.0,2140.5
3863.0,2140.8
3869.0,2180.9
3821.0,2169.8
3775.0,2151.6
3762.0,2108.9
3699.0,2100.8
3627.0,2092.4
3636.0,2053.1
3675.0,2050.0
3680.0,2084.1
3693.0,2087.4
3674.0,2082.0
3689.0,2076.0
3682.0,2095.1
3662.0,2114.7
3663.0,2095.0
3662.0,2080.6
3620.0,2095.9
3620.0,2061.4
3599.0,2046.6
3653.0,2029.6
3649.0,2042.5
3700.0,2069.4
3684.0,2059.7
3668.0,2069.1
3682.0,2066.1
3701.0,2047.9
3714.0,2044.2
3698.0,2018.4
3696.0,1988.1
3670.0,2004.3
3629.0,2009.3
3656.0,2008.2
3629.0,2034.6
3653.0,2041.4
3660.0,2070.0
3672.0,2110.9
3721.0,2096.0
