Year,Advertising,Sales
1907,608,1016
1908,451,921
1909,529,934
1910,543,976
1911,525,930
1912,549,1052
1913,525,1184
1914,578,1089
1915,609,1087
1916,504,1154
1917,752,1330
1918,613,1980
1919,862,2223
1920,866,2203
1921,1016,2514
1922,1360,2726
1923,1482,3185
1924,1608,3351
1925,1800,3438
1926,1941,2917
1927,1229,2359
1928,1373,2240
1929,1611,2196
1930,1568,2111
1931,983,1806
1932,1046,1644
1933,1453,1814
1934,1504,1770
1935,807,1518
1936,339,1103
1937,562,1266
1938,745,1473
1939,749,1423
1940,862,1767
1941,1034,2161
1942,1054,2336
1943,1164,2602
1944,1102,2518
1945,1145,2637
1946,1012,2177
1947,836,1920
1948,941,1910
1949,981,1984
1950,974,1787
1951,766,1689
1952,920,1866
1953,964,1896
1954,811,1684
1955,789,1633
1956,802,1657
1957,770,1569
1958,639,1390
1959,644,1387
1960,564,1289
