year,mink,muskrat
1850,29619.0,175472.0
1851,21151.0,194682.0
1852,24859.0,292530.0
1853,25152.0,493952.0
1854,42375.0,512291.0
1855,50839.0,345626.0
1856,61581.0,258806.0
1857,61951.0,302267.0
1858,76231.0,313502.0
1859,63264.0,254246.0
1860,44730.0,177291.0
1861,31094.0,206020.0
1862,49452.0,335385.0
1863,43961.0,357060.0
1864,61727.0,509769.0
1865,60334.0,418370.0
1866,51404.0,320824.0
1867,58451.0,412164.0
1868,73575.0,618081.0
1869,74343.0,404173.0
1870,27708.0,232251.0
1871,31985.0,443999.0
1872,39266.0,704789.0
1873,44740.0,767896.0
1874,60429.0,671982.0
1875,72273.0,523802.0
1876,79214.0,583319.0
1877,79060.0,437121.0
1878,84244.0,486030.0
1879,62590.0,499727.0
1880,35072.0,478078.0
1881,36160.0,829034.0
1882,45600.0,1029296.0
1883,47508.0,1069183.0
1884,52290.0,1083067.0
1885,110824.0,817003.0
1886,76503.0,347050.0
1887,64303.0,380132.0
1888,83023.0,344878.0
1889,40748.0,223614.0
1890,35396.0,322160.0
1891,29479.0,574742.0
1892,42264.0,806103.0
1893,58171.0,934646.0
1894,50815.0,648687.0
1895,51285.0,674811.0
1896,70229.0,813159.0
1897,76365.0,551716.0
1898,70407.0,568934.0
1899,41839.0,701487.0
1900,45978.0,767741.0
1901,47813.0,928199.0
1902,57620.0,1650214.0
1903,66549.0,1488287.0
1904,54673.0,924439.0
1905,55996.0,1056253.0
1906,60053.0,695070.0
1907,39169.0,407472.0
1908,21534.0,172418.0
1909,17857.0,302195.0
1910,21788.0,749142.0
1911,33008.0,963597.0
