week_start,deaths
2010-08-01,12968
2010-08-08,12541
2010-08-15,11762
2010-08-22,11056
2010-08-29,10524
2010-09-05,10117
2010-09-12,10102
2010-09-19,10295
2010-09-26,9981
2010-10-03,9792
2010-10-10,9729
2010-10-17,9631
2010-10-24,8004
2010-10-31,9756
2010-11-07,9892
2010-11-14,9449
2010-11-21,9503
2010-11-28,8343
2010-12-05,9483
2010-12-12,9190
2010-12-19,9452
2010-12-26,8178
2011-01-02,9259
2011-01-09,8513
2011-01-16,8461
2011-01-23,8973
2011-01-30,8627
2011-02-06,8541
2011-02-13,8261
2011-02-20,8257
2011-02-27,8467
2011-03-06,8318
2011-03-13,8584
2011-03-20,8635
2011-03-27,7708
2011-04-03,8961
2011-04-10,8727
2011-04-17,8943
2011-04-24,8759
2011-05-01,9195
2011-05-08,9218
2011-05-15,9286
2011-05-22,9275
2011-05-29,9668
2011-06-05,9406
2011-06-12,9437
2011-06-19,9473
2011-06-26,9220
2011-07-03,11193
2011-07-10,10880
2011-07-17,11484
2011-07-24,9689
2011-07-31,12644
2011-08-07,13133
2011-08-14,11438
2011-08-21,10555
2011-08-28,10235
2011-09-04,10019
2011-09-11,9757
2011-09-18,9433
2011-09-25,9453
2011-10-02,9648
2011-10-09,9842
2011-10-16,9707
2011-10-23,9312
2011-10-30,9557
2011-11-06,9327
2011-11-13,8335
2011-11-20,8064
2011-11-27,9853
2011-12-04,10140
2011-12-11,8949
2011-12-18,9163
2011-12-25,7913
2012-01-01,9254
2012-01-08,8961
2012-01-15,8715
2012-01-22,8710
2012-01-29,8705
2012-02-05,8461
2012-02-12,8500
2012-02-19,8456
2012-02-26,8787
2012-03-04,8573
2012-03-11,8426
2012-03-18,8466
2012-03-25,7717
2012-04-01,8769
2012-04-08,8612
2012-04-15,8527
2012-04-22,8919
2012-04-29,8719
2012-05-06,8705
2012-05-13,8638
2012-05-20,9139
2012-05-27,9640
2012-06-03,9042
2012-06-10,9305
2012-06-17,9166
2012-06-24,9203
2012-07-01,9828
2012-07-08,10348
2012-07-15,11151
2012-07-22,8472
2012-07-29,10514
2012-08-05,11343
2012-08-12,10393
2012-08-19,10320
2012-08-26,10117
2012-09-02,10287
2012-09-09,10532
2012-09-16,11086
2012-09-23,10945
2012-09-30,10507
2012-10-07,10041
2012-10-14,9864
2012-10-21,9634
2012-10-28,8520
2012-11-04,9992
2012-11-11,10816
2012-11-18,10238
2012-11-25,9957
2012-12-02,8868
2012-12-09,9913
2012-12-16,9602
2012-12-23,9602
2012-12-30,6781
2013-01-06,10170
2013-01-13,9054
2013-01-20,8856
2013-01-27,8909
2013-02-03,8754
2013-02-10,8684
2013-02-17,8877
2013-02-24,8942
2013-03-03,8810
2013-03-10,8776
2013-03-17,8977
2013-03-24,7617
2013-03-31,8848
2013-04-07,8641
2013-04-14,8839
2013-04-21,8865
2013-04-28,9070
2013-05-05,9441
2013-05-12,9284
2013-05-19,9550
2013-05-26,9335
2013-06-02,9683
2013-06-09,9900
2013-06-16,9679
2013-06-23,9394
2013-06-30,9844
2013-07-07,10388
2013-07-14,11461
2013-07-21,8096
2013-07-28,11620
2013-08-04,12541
2013-08-11,11075
2013-08-18,11262
2013-08-25,11314
2013-09-01,11044
2013-09-08,11030
2013-09-15,10850
